PGC,ra,dec,OType,MType,logD25,logR25,PA,ANames,framework_id
924088,00 01 15.0,-14 28 47,G,0,0.41,0.25,107.0,0,-4477736521080814343
1944121,00 01 15.0,+31 22 27,G,0,0.64,0.11,34.0,NPM1G+31.0507,5859568472343295040
737934,00 01 15.1,-28 44 53,G,0,0.44,0.13,94.0,0,-5383053458873142583
744727,00 01 15.1,-28 11 21,G,0,0.38,0.08,175.0,0,4487151379383419343
503524,00 01 15.2,-47 18 13,G,0,0.51,0.12,0.0,0,-1516250237475828712
92,00 01 15.2,+13 06 46,GM,Sc,0.71,0.44,50.0,MCG2-01-010           HCG100D,-4435893060870787500
883777,00 01 15.3,-17 24 29,G,0,0.54,0.16,76.0,0,-6574734256066341027
847119,00 01 15.4,-20 02 11,G,0,0.57,0.29,91.0,0,-4975959942659929259
93,00 01 15.5,-50 47 36,G,SO,0.6,0.48,50.0,DRCG39-23,8567996652042185429
287916,00 01 15.5,-68 09 42,G,0,0.59,0.12,72.0,0,4307859967720296745
403285,00 01 15.5,-56 05 01,G,0,0.47,0.09,166.0,0,6047760652652735882
887669,00 01 15.6,-17 10 24,G,0,0.37,0.06,104.0,0,4017298186870703176
1833336,00 01 15.6,+28 21 03,G,0,0.61,0.07,166.0,NPM1G+28.0505,-6798222795996310158
95,00 01 15.6,+36 58 10,G,0,0.73,0.06,6.0,MCG6-01-006           NPM1G+36.0522,8371990517241061102
198095,00 01 15.7,-25 48 05,G,0,0.56,0.11,124.0,DUKST537-30,-58912964659104809
1014304,00 01 15.8,-07 42 35,G,0,0.4,0.22,3.0,0,-7325793830416720331
349478,00 01 15.8,-62 04 51,G,0,0.57,0.34,125.0,0,-1881024993749149152
266790,00 01 15.8,-71 51 54,G,0,0.75,0.42,128.0,0,-7228852270383422173
398908,00 01 15.8,-56 35 30,G,0,0.6,0.39,4.0,0,-6539622311718994734
107485,00 01 15.8,-41 07 22,G,0,0.0,0.0,0.0,LCRSB235842.1-412404,1222715085749221281
2388729,00 01 16.0,+51 07 18,G,0,0.54,0.03,0.0,0,9120520621048084638
544989,00 01 16.1,-43 45 35,G,0,0.36,0.08,95.0,0,-5222707891934327658
1017611,00 01 16.1,-07 31 18,G,0,0.53,0.15,125.0,0,5786321664134607473
2022710,00 01 16.1,+33 04 53,G,0,0.49,0.1,140.0,0,-6161156162483709659
95116,00 01 16.1,-43 13 13,G,SO-a,0.76,0.25,43.0,0,6307586705573017822
815822,00 01 16.1,-22 19 54,G,0,0.36,0.08,172.0,0,1627744823683066202
779227,00 01 16.2,-25 25 02,G,0,0.54,0.15,14.0,0,-9209475993980206612
848159,00 01 16.2,-19 57 30,G,0,0.46,0.15,86.0,0,7333485868518209340
516320,00 01 16.2,-46 19 40,G,0,0.49,0.38,86.0,0,-573779898758691238
656933,00 01 16.2,-34 49 58,G,0,0.47,0.22,57.0,0,8695557541949065357
1718986,00 01 16.3,+24 52 47,G,0,0.47,0.32,165.0,0,3493722707298469311
406199,00 01 16.4,-55 46 00,G,0,0.52,0.26,161.0,0,1152084838976463930
476233,00 01 16.4,-49 29 54,G,0,0.5,0.4,23.0,0,7863592846483971354
830226,00 01 16.4,-21 17 16,G,0,0.49,0.4,40.0,0,3642640730158397514
857065,00 01 16.4,-19 18 26,G,0,0.48,0.25,131.0,0,8258806044668533903
98,00 01 16.5,+00 02 07,G,0,0.0,0.0,0.0,UM194,-6103309969876339754
762973,00 01 16.6,-26 51 46,G,0,0.49,0.22,32.0,0,-338097915979589293
740032,00 01 16.7,-28 34 35,G,0,0.37,0.11,157.0,0,2466908850973488486
2074232,00 01 16.7,+36 03 23,G,0,0.48,0.17,172.0,0,2496882408559398201
740025,00 01 16.7,-28 34 35,G,0,0.4,0.2,156.0,0,-7749396683751351847
886511,00 01 16.8,-17 14 20,G,0,0.72,0.56,60.0,0,3209689569957006808
632544,00 01 16.8,-36 47 38,G,0,0.48,0.36,33.0,0,-5533607855274539569
224459,00 01 16.9,-81 56 32,G,0,0.9,0.06,95.0,0,-7443406753383354282
905152,00 01 16.9,-15 53 20,G,0,0.44,0.2,82.0,0,3958774084707902498
1471620,00 01 16.9,+14 57 47,G,0,0.48,0.17,108.0,0,-4629329602266455542
628762,00 01 17.1,-37 04 25,G,0,0.42,0.19,174.0,0,-5711246950082701584
99,00 01 17.3,-53 00 35,G,Sb,1.13,0.73,54.0,ESO149-12             ESO-LV1490120,-593682073357399617
1230526,00 01 17.3,+02 33 12,G,0,0.44,0.31,110.0,0,-7264696889372552996
1235133,00 01 17.4,+02 42 11,G,0,0.46,0.05,120.0,0,-8216363660823815943
661496,00 01 17.4,-34 29 34,G,0,0.42,0.05,0.0,0,-4024673879838680123
717347,00 01 17.5,-30 25 53,G,0,0.35,0.03,0.0,0,-1743043427396048205
1822283,00 01 17.5,+27 57 01,G,0,0.5,0.11,23.0,0,-2655639500288927540
732671,00 01 17.5,-29 09 18,G,0,0.63,0.44,130.0,0,-407896558279092776
740074,00 01 17.5,-28 34 24,G,0,0.38,0.19,36.0,0,4141575345580333185
