pl_name,hostname,pl_orbper,frame_hash
HIP 41378 b,HIP 41378,15.57208,-6602885420812336578
Kepler-1549 b,Kepler-1549,214.881456,-3484633418689220888
Kepler-204 c,Kepler-204,25.6613816,4584516523443779408
Kepler-253 d,Kepler-253,18.11993039,-1571846856323611162
Kepler-1164 b,Kepler-1164,3.97599768,-4511240791206696027
Kepler-712 c,Kepler-712,,-3783058046492984325
Kepler-666 b,Kepler-666,4.49876092,6377813146303240346
Kepler-256 e,Kepler-256,10.6816951,7188071368796100415
Kepler-161 b,Kepler-161,4.921354681,-6751603057988849539
K2-205 b,K2-205,26.682,764084942662376266
K2-224 c,K2-224,10.09607,-1999199564314889385
Kepler-260 b,Kepler-260,,8498702064122369867
KOI-351 g,KOI-351,210.6031105,-8041771964991501805
Kepler-179 b,Kepler-179,2.735903375,761068388981659230
KOI-351 c,KOI-351,8.71982853,-4173628852195788827
Kepler-816 b,Kepler-816,10.506825646,5081937097930461261
Kepler-833 b,Kepler-833,,-753487113173965361
Kepler-1715 b,Kepler-1715,35.59713982,5628504627406811812
Kepler-79 e,Kepler-79,81.0632,72375704596313788
Kepler-173 b,Kepler-173,4.26374378,-8847609774426642642
GJ 328 b,GJ 328,3771.0,6035389846421263719
Kepler-24 d,Kepler-24,4.24437621,-3958297353594748479
