WDS,Disc,Comp,Obs1,Obs2,pa1,pa2,sep1,sep2,mag1,mag2,DM,Notes,n_RAJ2000,RAJ2000,DEJ2000,_RA.icrs,_DE.icrs
00016+6437,MLR  79,AB,1953,2023,290,243,1.7,2.3,10.2,13.7,,N,,00 01 34.88,+64 37 24.1,00 01 34.88,+64 37 24.1
00016+6437,SS    1,AC,1953,2015,265,266,9.6,7.4,10.2,15.4,,N,,00 01 34.88,+64 37 24.1,00 01 34.88,+64 37 24.1
00016+6437,SS    1,AD,1953,2015,223,224,13.8,12.9,10.2,13.8,,N,,00 01 34.88,+64 37 24.1,00 01 34.88,+64 37 24.1
00016+6437,SS    1,AE,1953,2015,135,133,17.6,17.9,10.2,14.3,,N,,00 01 34.88,+64 37 24.1,00 01 34.88,+64 37 24.1
00016+6107,STI1253,,1913,2015,145,150,7.7,6.8,11.9,13.7,,,,00 01 33.41,+61 07 02.1,00 01 33.41,+61 07 02.1
00016+3714,ES 2444,,1930,2018,256,249,6.8,9.5,12.29,12.34,,N,,00 01 37.71,+37 14 43.7,00 01 37.71,+37 14 43.7
00016+1658,J   215,,1910,2016,36,37,1.9,3.1,10.54,13.4,+16 5029,,,00 01 39.01,+16 58 39.6,00 01 39.01,+16 58 39.6
00016-0045,SHN  45,,1997,1997,-1,-1,0.2,0.2,13.3,15.0,,,,00 01 37.21,-00 44 21.0,00 01 37.21,-00 44 21.0
00016-0102,WIS   1,,1998,2016,234,234,999.9,999.9,15.9,17.0,,V R,,00 01 36.89,-01 01 36.8,00 01 36.89,-01 01 36.8
00016-8019,NSN 161,,2015,2016,207,207,2.6,2.6,13.41,14.85,,T,,00 01 37.80,-80 19 21.2,00 01 37.80,-80 19 21.2
00017+7337,DRS  25,,2008,2008,81,81,1.0,1.0,6.06,9.58,+72 1135,K,,00 01 39.46,+73 36 42.6,00 01 39.46,+73 36 42.6
00017+6309,MLB 241,AB,1921,2016,304,276,2.8,7.3,9.6,11.8,+62 2349,W,,00 01 44.60,+63 10 05.1,00 01 44.60,+63 10 05.1
00017+6309,BKO   1,AC,1999,2015,307,307,50.5,51.1,9.4,12.19,,W,,00 01 44.60,+63 10 05.1,00 01 44.60,+63 10 05.1
00017+6041,STI1254,,1913,2015,48,51,12.7,12.2,11.9,13.1,,,,00 01 44.71,+60 41 53.9,00 01 44.71,+60 41 53.9
00017+5905,TDS1252,"Aa,Ab",1991,2016,63,61,0.9,0.8,10.9,11.97,,T,,00 01 44.48,+59 05 27.1,00 01 44.48,+59 05 27.1
00017+5905,STI3083,AB,1910,2015,241,243,9.5,9.9,10.89,13.0,,,,00 01 44.48,+59 05 27.1,00 01 44.48,+59 05 27.1
00017+4805,CON  47,,2004,2004,97,97,1.0,1.0,10.8,11.8,,K,,00 01 43.25,+48 05 19.0,00 01 43.25,+48 05 19.0
00017+2647,MLB 732,,1931,2016,326,318,3.0,4.0,10.0,11.5,,,,00 01 45.25,+26 47 01.9,00 01 45.25,+26 47 01.9
