pl_name,hostname,pl_orbper,framework_id
HIP 41378 b,HIP 41378,15.57208,-3352251994942958342
Kepler-1549 b,Kepler-1549,214.881456,-8082436565078361542
Kepler-204 c,Kepler-204,25.6613816,4206242947361764804
Kepler-253 d,Kepler-253,18.11993039,3139603835543783517
Kepler-1164 b,Kepler-1164,3.97599768,2407490804893881793
Kepler-712 c,Kepler-712,0.0,3058872658609712099
Kepler-666 b,Kepler-666,4.49876092,-271363274567465759
Kepler-256 e,Kepler-256,10.6816951,-4833947353384528681
Kepler-161 b,Kepler-161,4.921354681,-3350298450696129088
K2-205 b,K2-205,26.682,3453236992869114103
K2-224 c,K2-224,10.09607,-4158840661119207208
Kepler-260 b,Kepler-260,0.0,4220278499878253033
KOI-351 g,KOI-351,210.6031105,1429331246991982072
Kepler-179 b,Kepler-179,2.735903375,-8982432518204085218
KOI-351 c,KOI-351,8.71982853,-3018121512346887361
Kepler-816 b,Kepler-816,10.506825646,-8597212705993974925
Kepler-833 b,Kepler-833,0.0,5562426731044129494
Kepler-1715 b,Kepler-1715,35.59713982,-8397591153172954262
